Feature Name,Status,Categories,Firefox 125,Safari TP,Chrome 124
aac,other,Other,Partial,Yes,Yes
abortcontroller,ls,JS API,Yes,Yes,Yes
accelerometer,cr,JS API,No,No,Yes
addeventlistener,ls,DOM,Yes,Yes,Yes
ambient-light,cr,JS API,No,No,No
apng,wd,PNG,Yes,Yes,Yes
array-find,other,JS,Yes,Yes,Yes
array-find-index,other,JS,Yes,Yes,Yes
array-flat,other,JS,Yes,Yes,Yes
array-includes,other,JS,Yes,Yes,Yes
arrow-functions,other,JS,Yes,Yes,Yes
asmjs,other,"JS,JS API,Other",Yes,No,Partial
async-clipboard,wd,JS API,Partial,Yes,Yes
async-functions,other,JS,Yes,Yes,Yes
atob-btoa,ls,JS API,Yes,Yes,Yes
audio,ls,HTML5,Yes,Yes,Yes
audio-api,rec,JS API,Yes,Yes,Yes
audiotracks,ls,HTML5,No,Yes,No
autofocus,ls,HTML5,Yes,Yes,Yes
auxclick,wd,"DOM,JS API",Yes,No,Yes
av1,other,Other,Yes,Partial,Yes
avif,other,Other,Yes,Yes,Yes
background-attachment,cr,CSS,Yes,Yes,Yes
background-img-opts,cr,CSS3,Yes,Yes,Yes
background-repeat-round-space,cr,CSS3,Yes,Yes,Yes
battery-status,cr,JS API,No,No,Yes
beacon,cr,JS API,Yes,Yes,Yes
beforeafterprint,ls,"HTML5,JS API",Yes,Yes,Yes
bigint,other,JS,Yes,Yes,Yes
blobbuilder,wd,JS API,Yes,Yes,Yes
bloburls,wd,JS API,Yes,Yes,Yes
border-image,cr,CSS3,Yes,Yes,Yes
border-radius,cr,CSS3,Yes,Yes,Yes
broadcastchannel,ls,JS API,Yes,Yes,Yes
brotli,other,Other,Yes,Yes,Yes
calc,cr,CSS3,Yes,Yes,Yes
canvas,ls,"Canvas,HTML5",Yes,Yes,Yes
canvas-blending,cr,Canvas,Yes,Yes,Yes
canvas-text,ls,"Canvas,HTML5",Yes,Yes,Yes
ch-unit,cr,CSS3,Yes,Yes,Yes
chacha20-poly1305,other,Security,Yes,Yes,Yes
channel-messaging,ls,JS API,Yes,Yes,Yes
childnode-remove,ls,DOM,Yes,Yes,Yes
classlist,ls,"DOM,HTML5",Yes,Yes,Yes
client-hints-dpr-width-viewport,other,DOM,No,No,Yes
clipboard,wd,JS API,Partial,Yes,Partial
colr,other,Other,Yes,Yes,Yes
colr-v1,other,Other,Yes,No,Yes
comparedocumentposition,ls,DOM,Yes,Yes,Yes
console-basic,ls,JS API,Yes,Yes,Yes
console-time,ls,JS API,Yes,Yes,Yes
const,other,JS,Yes,Yes,Yes
constraint-validation,ls,JS API,Yes,Yes,Yes
contenteditable,ls,HTML5,Yes,Yes,Yes
contentsecuritypolicy,cr,Security,Yes,Yes,Yes
contentsecuritypolicy2,rec,Security,Yes,Yes,Yes
cors,ls,"JS API,Security",Yes,Yes,Yes
createimagebitmap,ls,JS API,Partial,Partial,Yes
credential-management,wd,"JS API,Security",No,No,Yes
cryptography,rec,"JS API,Security",Yes,Yes,Yes
css-all,rec,CSS,Yes,Yes,Yes
css-animation,wd,CSS3,Yes,Yes,Yes
css-any-link,wd,CSS,Yes,Yes,Yes
css-appearance,wd,CSS,Yes,Yes,Yes
css-at-counter-style,cr,CSS3,Partial,Partial,Partial
css-background-offsets,cr,CSS3,Yes,Yes,Yes
css-backgroundblendmode,cr,CSS,Yes,Yes,Yes
css-boxdecorationbreak,cr,CSS3,Yes,Partial,Partial
css-boxshadow,cr,CSS3,Yes,Yes,Yes
css-caret-color,rec,CSS,Yes,Yes,Yes
css-cascade-layers,cr,CSS,Yes,Yes,Yes
css-case-insensitive,wd,CSS,Yes,Yes,Yes
css-clip-path,cr,CSS3,Yes,Partial,Partial
css-color-adjust,cr,CSS,Yes,Yes,Yes
css-color-function,cr,CSS,Yes,Yes,Yes
css-conic-gradients,wd,CSS,Yes,Yes,Yes
css-container-queries,wd,CSS,Yes,Yes,Yes
css-container-queries-style,wd,CSS,No,No,Partial
css-container-query-units,wd,CSS,Yes,Yes,Yes
css-containment,rec,CSS,Yes,Yes,Yes
css-content-visibility,wd,CSS,Yes,Yes,Yes
css-counters,rec,CSS2,Yes,Yes,Yes
css-crisp-edges,cr,"CSS,CSS3",Yes,Yes,Yes
css-cross-fade,cr,CSS,No,Yes,Yes
css-default-pseudo,wd,CSS,Yes,Yes,Yes
css-deviceadaptation,wd,CSS,No,No,No
css-dir-pseudo,wd,CSS,Yes,Yes,Yes
css-display-contents,cr,CSS,Partial,Partial,Partial
css-element-function,wd,CSS3,Yes,No,No
css-exclusions,wd,CSS,No,No,No
css-featurequeries,cr,CSS3,Yes,Yes,Yes
css-filter-function,wd,"CSS,CSS3",No,Yes,No
css-filters,wd,"CSS,CSS3",Yes,Yes,Yes
css-first-letter,rec,CSS,Yes,Yes,Yes
css-first-line,rec,CSS3,Yes,Yes,Yes
css-fixed,rec,CSS,Yes,Yes,Yes
css-focus-visible,wd,CSS,Yes,Yes,Yes
css-font-palette,wd,CSS,Yes,Yes,Yes
css-font-rendering-controls,wd,CSS,Yes,Yes,Yes
css-font-stretch,rec,CSS,Yes,Yes,Yes
css-gencontent,rec,"CSS2,CSS3",Yes,Yes,Yes
css-gradients,cr,CSS3,Yes,Yes,Yes
css-grid,cr,CSS,Yes,Yes,Yes
css-hanging-punctuation,cr,CSS,No,Yes,No
css-has,wd,CSS,Yes,Yes,Yes
css-hyphens,cr,CSS3,Yes,Yes,Yes
css-image-orientation,cr,CSS3,Yes,Yes,Yes
css-image-set,wd,CSS,Yes,Yes,Yes
css-in-out-of-range,wd,CSS,Yes,Yes,Yes
css-indeterminate-pseudo,wd,CSS,Yes,Yes,Yes
css-initial-letter,wd,CSS,No,Partial,Partial
css-initial-value,cr,CSS,Yes,Yes,Yes
css-lch-lab,cr,CSS,Yes,Yes,Yes
css-letter-spacing,rec,CSS,Yes,Yes,Yes
css-line-clamp,wd,CSS,Yes,Yes,Yes
css-logical-props,wd,"CSS,CSS3",Yes,Yes,Yes
css-marker-pseudo,wd,CSS3,Yes,Yes,Yes
css-masks,cr,CSS,Yes,Yes,Yes
css-matches-pseudo,wd,CSS,Yes,Yes,Yes
css-math-functions,wd,CSS,Yes,Yes,Yes
css-media-interaction,cr,CSS,Yes,Yes,Yes
css-media-range-syntax,cr,CSS,Yes,Yes,Yes
css-media-resolution,cr,"CSS,CSS3",Yes,Yes,Yes
css-mediaqueries,rec,CSS3,Yes,Yes,Yes
css-mixblendmode,cr,CSS,Yes,Partial,Yes
css-motion-paths,wd,CSS,Yes,Yes,Yes
css-namespaces,rec,CSS,Yes,Yes,Yes
css-nesting,wd,CSS,Yes,Yes,Yes
css-not-sel-list,wd,CSS,Yes,Yes,Yes
css-nth-child-of,wd,CSS,Yes,Yes,Yes
css-opacity,rec,CSS3,Yes,Yes,Yes
css-optional-pseudo,wd,CSS,Yes,Yes,Yes
css-overflow,wd,CSS,Yes,Yes,Yes
css-overflow-anchor,wd,CSS3,Yes,Yes,Yes
css-overscroll-behavior,wd,CSS,Yes,Yes,Yes
css-page-break,rec,CSS,Partial,Partial,Partial
css-paged-media,wd,Other,Partial,No,Yes
css-paint-api,cr,"CSS,JS API",No,No,Yes
css-placeholder,wd,CSS,Yes,Yes,Yes
css-placeholder-shown,wd,CSS,Yes,Yes,Yes
css-read-only-write,ls,CSS,Yes,Yes,Yes
css-rebeccapurple,cr,CSS,Yes,Yes,Yes
css-regions,wd,CSS3,No,No,No
css-relative-colors,wd,CSS,No,Yes,Yes
css-repeating-gradients,cr,CSS3,Yes,Yes,Yes
css-resize,rec,CSS3,Yes,Yes,Yes
css-revert-value,cr,CSS,Yes,Yes,Yes
css-rrggbbaa,cr,CSS,Yes,Yes,Yes
css-scroll-behavior,wd,CSS,Yes,Yes,Yes
css-scrollbar,cr,CSS,Yes,Partial,Partial
css-sel2,rec,CSS2,Yes,Yes,Yes
css-sel3,rec,CSS3,Yes,Yes,Yes
css-selection,wd,CSS,Yes,Yes,Yes
css-shapes,cr,CSS3,Yes,Yes,Yes
css-snappoints,cr,CSS,Yes,Yes,Yes
